host_is_superhost,date,price
No,2020-11-30,64.54115657216495
No,2020-12-01,64.6321681701031
No,2020-12-02,64.69756765463917
No,2020-12-03,64.72575708762886
No,2020-12-04,66.38538981958763
No,2020-12-05,66.36928157216495
No,2020-12-06,64.73300579896907
No,2020-12-07,64.57168170103093
No,2020-12-08,64.66712306701031
No,2020-12-09,64.62491945876289
No,2020-12-10,64.80927835051547
No,2020-12-11,66.3455219072165
No,2020-12-12,66.38692010309278
No,2020-12-13,64.77327641752578
No,2020-12-14,64.68073453608247
No,2020-12-15,64.6868556701031
No,2020-12-16,64.73010631443299
No,2020-12-17,64.85478414948453
No,2020-12-18,66.63933634020619
No,2020-12-19,66.71254832474227
No,2020-12-20,65.18886920103093
No,2020-12-21,65.35349548969072
No,2020-12-22,65.75289948453609
No,2020-12-23,66.16116301546391
No,2020-12-24,66.6472293814433
No,2020-12-25,68.34383054123711
No,2020-12-26,68.82595038659794
No,2020-12-27,67.92920425257732
No,2020-12-28,68.67662693298969
No,2020-12-29,69.51634987113403
No,2020-12-30,71.75861791237114
No,2020-12-31,73.2975193298969
No,2021-01-01,71.67630476804123
No,2021-01-02,70.80307667525773
No,2021-01-03,67.95827963917526
No,2021-01-04,66.25910115979381
No,2021-01-05,66.15761920103093
No,2021-01-06,65.91688144329896
No,2021-01-07,65.9855831185567
No,2021-01-08,67.5612918814433
No,2021-01-09,67.5642719072165
No,2021-01-10,65.74210695876289
No,2021-01-11,65.43323131443299
No,2021-01-12,65.4404800257732
No,2021-01-13,65.53133054123711
No,2021-01-14,65.82047358247422
No,2021-01-15,67.79542525773196
No,2021-01-16,67.8053318298969
No,2021-01-17,65.99895296391753
No,2021-01-18,65.90673324742268
No,2021-01-19,66.05943943298969
No,2021-01-20,65.94088273195877
No,2021-01-21,66.13828930412372
No,2021-01-22,67.73703286082474
No,2021-01-23,67.60446198453609
No,2021-01-24,65.9237274484536
No,2021-01-25,65.63039626288659
No,2021-01-26,65.6736469072165
No,2021-01-27,65.78326353092784
No,2021-01-28,65.73840206185567
No,2021-01-29,67.37177835051547
No,2021-01-30,67.37459729381443
No,2021-01-31,65.8058956185567
No,2021-02-01,66.11670425257732
No,2021-02-02,66.55525128865979
No,2021-02-03,66.73590528350516
No,2021-02-04,66.66929768041237
No,2021-02-05,67.8214400773196
No,2021-02-06,67.52013530927834
No,2021-02-07,65.87701353092784
No,2021-02-08,65.59205863402062
No,2021-02-09,65.77625644329896
No,2021-02-10,65.95876288659794
No,2021-02-11,66.06886275773196
