price,review_scores_rating,availability_90,neighbourhood_group_cleansed,host_acceptance_rate,host_response_time,host_identity_verified,host_has_profile_pic,number_of_reviews,instant_bookable,host_is_superhost
35,97.0,90,Steglitz - Zehlendorf,75,within a few hours,Yes,Yes,38,No,Yes
31,94.0,0,Mitte,100,within an hour,Yes,Yes,123,Yes,No
65,89.0,83,Mitte,100,within an hour,Yes,Yes,108,Yes,No
28,100.0,0,Tempelhof - Schöneberg,,,No,Yes,1,No,No
34,86.0,79,Pankow,50,within a day,Yes,Yes,14,No,No
100,100.0,0,Pankow,,,Yes,Yes,2,No,No
55,88.0,64,Pankow,93,within an hour,Yes,Yes,138,No,No
200,100.0,0,Mitte,100,within an hour,Yes,Yes,5,No,No
116,92.0,0,Charlottenburg-Wilm.,100,within a few hours,Yes,Yes,68,No,No
96,95.0,85,Mitte,78,within an hour,Yes,Yes,128,No,No
25,92.0,0,Charlottenburg-Wilm.,100,,No,Yes,54,Yes,No
50,92.0,28,Friedrichshain-Kreuzberg,100,,Yes,Yes,5,Yes,No
323,100.0,87,Pankow,97,within an hour,Yes,Yes,50,No,Yes
41,100.0,38,Pankow,90,within a few hours,Yes,Yes,21,Yes,No
103,98.0,74,Friedrichshain-Kreuzberg,98,within an hour,No,Yes,270,No,Yes
215,100.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,1,Yes,No
70,100.0,0,Friedrichshain-Kreuzberg,,,No,Yes,1,No,No
158,94.0,78,Tempelhof - Schöneberg,100,within an hour,Yes,Yes,93,No,No
60,96.0,0,Friedrichshain-Kreuzberg,81,within a few hours,Yes,Yes,9,Yes,Yes
100,95.0,90,Mitte,99,within an hour,Yes,Yes,57,No,No
55,80.0,0,Neukölln,,,Yes,Yes,1,No,No
75,96.0,13,Mitte,100,within an hour,Yes,Yes,32,No,No
140,100.0,73,Pankow,67,within a day,Yes,Yes,13,No,No
37,99.0,78,Tempelhof - Schöneberg,93,within a few hours,Yes,Yes,86,No,Yes
60,100.0,0,Charlottenburg-Wilm.,100,,Yes,Yes,1,Yes,No
89,93.0,42,Friedrichshain-Kreuzberg,99,within an hour,Yes,Yes,45,Yes,No
290,80.0,83,Charlottenburg-Wilm.,,,Yes,Yes,1,No,No
35,96.0,0,Charlottenburg-Wilm.,,,No,Yes,23,Yes,No
89,85.0,70,Mitte,100,within an hour,Yes,Yes,237,Yes,No
35,96.0,48,Charlottenburg-Wilm.,41,within a day,Yes,Yes,32,No,No
275,100.0,88,Lichtenberg,50,within a day,Yes,Yes,2,No,No
33,89.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,7,Yes,No
60,90.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,5,No,No
45,80.0,89,Charlottenburg-Wilm.,40,,Yes,Yes,4,No,No
43,94.0,85,Mitte,100,within an hour,Yes,Yes,371,Yes,Yes
22,100.0,0,Tempelhof - Schöneberg,,,Yes,Yes,2,No,No
54,95.0,82,Pankow,69,within a day,Yes,Yes,30,No,No
90,70.0,72,Treptow - Köpenick,50,within a few hours,Yes,Yes,2,No,No
30,90.0,0,Mitte,67,,No,Yes,2,Yes,No
60,85.0,73,Mitte,100,within an hour,Yes,Yes,15,Yes,No
90,94.0,0,Steglitz - Zehlendorf,100,,No,Yes,10,Yes,No
70,93.0,0,Pankow,80,,Yes,Yes,3,No,No
90,94.0,0,Mitte,83,within an hour,Yes,Yes,67,No,Yes
62,93.0,0,Charlottenburg-Wilm.,,,Yes,Yes,3,No,No
70,100.0,89,Charlottenburg-Wilm.,75,,No,Yes,3,No,No
60,100.0,0,Treptow - Köpenick,33,,Yes,Yes,3,No,No
54,97.0,76,Tempelhof - Schöneberg,97,within an hour,Yes,Yes,290,No,No
21,96.0,1,Charlottenburg-Wilm.,70,within an hour,No,Yes,168,No,Yes
41,95.0,80,Charlottenburg-Wilm.,97,within an hour,No,Yes,17,No,No
35,95.0,0,Pankow,50,,No,Yes,11,No,No
165,99.0,80,Mitte,70,within an hour,Yes,Yes,176,No,Yes
89,100.0,0,Friedrichshain-Kreuzberg,100,within an hour,Yes,Yes,9,No,No
30,100.0,0,Neukölln,83,,Yes,Yes,3,No,No
49,95.0,8,Neukölln,93,within a day,No,Yes,12,Yes,No
33,80.0,0,Mitte,,,Yes,Yes,2,No,No
35,93.0,0,Tempelhof - Schöneberg,,,No,Yes,12,No,No
25,97.0,28,Pankow,81,within a few hours,Yes,Yes,204,No,Yes
61,93.0,0,Neukölln,,,Yes,Yes,22,Yes,No
25,100.0,0,Charlottenburg-Wilm.,,,Yes,Yes,1,No,No
38,98.0,0,Friedrichshain-Kreuzberg,73,,No,Yes,10,Yes,Yes
65,94.0,87,Tempelhof - Schöneberg,100,,No,Yes,25,No,No
30,90.0,0,Treptow - Köpenick,,,No,Yes,2,No,No
15,87.0,0,Steglitz - Zehlendorf,,,No,Yes,3,Yes,No
125,84.0,87,Neukölln,40,,No,Yes,28,No,No
39,98.0,74,Tempelhof - Schöneberg,71,within an hour,Yes,Yes,34,No,Yes
120,90.0,0,Friedrichshain-Kreuzberg,100,,Yes,Yes,4,No,No
25,60.0,0,Tempelhof - Schöneberg,,,No,Yes,5,No,No
69,91.0,39,Reinickendorf,100,within an hour,Yes,Yes,38,Yes,No
15,93.0,0,Friedrichshain-Kreuzberg,50,within a day,Yes,Yes,12,No,No
45,93.0,0,Friedrichshain-Kreuzberg,,,No,Yes,3,No,No
400,84.0,0,Pankow,100,,Yes,Yes,69,Yes,No
40,89.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,17,No,No
