availability_365,date,price
0-50,2020-11-03,55.807158426064014
0-50,2020-11-04,55.80933807502581
0-50,2020-11-05,55.81817138923942
0-50,2020-11-06,56.756567626477
0-50,2020-11-07,56.776872777331654
0-50,2020-11-08,55.80933807502581
0-50,2020-11-09,55.765515659057016
0-50,2020-11-10,55.78192038545371
0-50,2020-11-11,55.77652862223242
0-50,2020-11-12,55.78926236090398
0-50,2020-11-13,56.72031662269129
0-50,2020-11-14,56.73649191235517
0-50,2020-11-15,55.78203510382012
0-50,2020-11-16,55.74681656533211
0-50,2020-11-17,55.75507628771366
0-50,2020-11-18,55.75805896524034
0-50,2020-11-19,55.783297005850635
0-50,2020-11-20,56.73924515314902
0-50,2020-11-21,56.74578410003441
0-50,2020-11-22,55.81564758517839
0-50,2020-11-23,55.784444189514744
0-50,2020-11-24,55.8058965240335
0-50,2020-11-25,55.819662728002754
0-50,2020-11-26,55.85901112768154
0-50,2020-11-27,56.80761729952965
0-50,2020-11-28,56.80084891591144
0-50,2020-11-29,55.84226224618561
0-50,2020-11-30,55.78570609154526
0-50,2020-12-01,55.82872547894918
0-50,2020-12-02,55.81931857290352
0-50,2020-12-03,55.834346678903295
0-50,2020-12-04,56.78639440174372
0-50,2020-12-05,56.82906963404841
0-50,2020-12-06,55.87908684180337
0-50,2020-12-07,55.822874842262244
0-50,2020-12-08,55.82849604221636
0-50,2020-12-09,55.83033153607892
0-50,2020-12-10,55.8520133073305
0-50,2020-12-11,56.80956751175863
0-50,2020-12-12,56.85075140529999
0-50,2020-12-13,55.92887461282551
0-50,2020-12-14,55.88229895606287
0-50,2020-12-15,55.896179878398534
0-50,2020-12-16,55.921188482276015
0-50,2020-12-17,55.93587243317655
0-50,2020-12-18,56.961684065618904
0-50,2020-12-19,57.03636572215212
0-50,2020-12-20,56.08684180337272
0-50,2020-12-21,56.11873350923483
0-50,2020-12-22,56.20270735344729
0-50,2020-12-23,56.4363886658254
0-50,2020-12-24,56.6348514397155
0-50,2020-12-25,57.585981415624644
0-50,2020-12-26,57.83629689113227
0-50,2020-12-27,57.37891476425376
0-50,2020-12-28,57.6381782723414
0-50,2020-12-29,58.01640472639669
0-50,2020-12-30,58.540323505793275
0-50,2020-12-31,58.95973385338993
0-50,2021-01-01,58.621314672479066
0-50,2021-01-02,58.28105999770563
0-50,2021-01-03,57.117930480669955
0-50,2021-01-04,56.77710221406447
0-50,2021-01-05,56.70655041872204
0-50,2021-01-06,56.67029941493633
0-50,2021-01-07,56.72031662269129
0-50,2021-01-08,57.64460250086039
0-50,2021-01-09,57.67247906389813
0-50,2021-01-10,56.69565217391305
0-50,2021-01-11,56.66158081908914
0-50,2021-01-12,56.658712859928876
0-50,2021-01-13,56.63393369278422
0-50,2021-01-14,56.98852816335896
0-50,2021-01-15,57.921188482276015
0-50,2021-01-16,57.93254560055065
0-50,2021-01-17,56.98428358380177
0-50,2021-01-18,56.95652173913044
0-50,2021-01-19,56.966158081908915
0-50,2021-01-20,56.96741998393943
0-50,2021-01-21,57.000917746931286
0-50,2021-01-22,57.91212573132959
0-50,2021-01-23,57.93610186990937
0-50,2021-01-24,57.003441550992314
0-50,2021-01-25,56.98221865320638
0-50,2021-01-26,56.99414936331306
0-50,2021-01-27,56.99174027761845
0-50,2021-01-28,57.01640472639669
0-50,2021-01-29,57.94241138006195
0-50,2021-01-30,57.978662383847656
0-50,2021-01-31,57.07215785247218
0-50,2021-02-01,57.015486979465415
0-50,2021-02-02,57.234140185843756
0-50,2021-02-03,57.22943673282092
0-50,2021-02-04,57.32958586669726
0-50,2021-02-05,58.05495009751061
0-50,2021-02-06,58.045313754732135
0-50,2021-02-07,57.02374670184697
0-50,2021-02-08,56.97889182058047
0-50,2021-02-09,57.01296317540438
0-50,2021-02-10,57.049099460823676
0-50,2021-02-11,57.08397384421246
0-50,2021-02-12,58.04887002409086
0-50,2021-02-13,58.05655615464036
0-50,2021-02-14,57.110932660318916
0-50,2021-02-15,57.07422278306757
