review_scores_rating,date,price
below 70,2021-01-26,60.05508474576271
below 70,2021-01-27,60.059322033898304
below 70,2021-01-28,60.08474576271186
below 70,2021-01-29,61.3771186440678
below 70,2021-01-30,61.38135593220339
below 70,2021-01-31,59.851694915254235
below 70,2021-02-01,60.41101694915254
below 70,2021-02-02,62.41525423728814
below 70,2021-02-03,62.41949152542373
below 70,2021-02-04,62.436440677966104
below 70,2021-02-05,61.30084745762712
below 70,2021-02-06,61.30084745762712
below 70,2021-02-07,59.17372881355932
below 70,2021-02-08,59.46186440677966
below 70,2021-02-09,60.26271186440678
below 70,2021-02-10,60.26271186440678
below 70,2021-02-11,60.51271186440678
below 70,2021-02-12,61.648305084745765
below 70,2021-02-13,61.65677966101695
below 70,2021-02-14,60.42372881355932
below 70,2021-02-15,60.50423728813559
