id,host_is_superhost,neighbourhood_group_cleansed,room_type,beds,availability_365,review_scores_rating
257373,Yes,Pankow,Entire home/apt,3.0,0-50,91-100
257766,No,Mitte,Entire home/apt,1.0,51-100,91-100
260095,Yes,Neukölln,Entire home/apt,2.0,201-250,91-100
263258,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,91-100
263817,No,Neukölln,Private room,2.0,151-200,91-100
264459,Yes,Pankow,Entire home/apt,1.0,51-100,91-100
265354,No,Friedrichshain-Kreuzberg,Private room,4.0,251-300,81-90
265389,No,Friedrichshain-Kreuzberg,Private room,1.0,51-100,91-100
265402,No,Friedrichshain-Kreuzberg,Shared room,3.0,251-300,81-90
265408,No,Friedrichshain-Kreuzberg,Shared room,4.0,251-300,91-100
265543,Yes,Friedrichshain-Kreuzberg,Private room,1.0,0-50,91-100
265955,No,Tempelhof - Schöneberg,Entire home/apt,2.0,201-250,91-100
266086,No,Treptow - Köpenick,Entire home/apt,3.0,300+,91-100
267181,No,Lichtenberg,Private room,0.0,300+,81-90
267399,No,Neukölln,Entire home/apt,2.0,0-50,91-100
267764,No,Mitte,Entire home/apt,2.0,0-50,91-100
267951,Yes,Pankow,Entire home/apt,2.0,0-50,91-100
268910,No,Treptow - Köpenick,Entire home/apt,1.0,300+,91-100
268974,No,Neukölln,Entire home/apt,1.0,300+,91-100
269455,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,71-80
270477,No,Pankow,Entire home/apt,2.0,0-50,91-100
270697,No,Neukölln,Entire home/apt,0.0,51-100,81-90
271340,Yes,Mitte,Entire home/apt,1.0,0-50,91-100
273011,Yes,Charlottenburg-Wilm.,Entire home/apt,7+,251-300,91-100
273076,Yes,Mitte,Entire home/apt,4.0,0-50,91-100
274798,Yes,Friedrichshain-Kreuzberg,Private room,1.0,251-300,91-100
277245,No,Mitte,Entire home/apt,0.0,0-50,91-100
278415,No,Mitte,Entire home/apt,6.0,201-250,91-100
279315,No,Neukölln,Entire home/apt,1.0,151-200,81-90
279344,No,Mitte,Entire home/apt,4.0,101-150,91-100
282734,No,Charlottenburg-Wilm.,Entire home/apt,1.0,0-50,91-100
282773,No,Charlottenburg-Wilm.,Entire home/apt,1.0,51-100,81-90
282786,No,Charlottenburg-Wilm.,Entire home/apt,1.0,51-100,81-90
282797,No,Charlottenburg-Wilm.,Entire home/apt,1.0,0-50,81-90
301773,No,Pankow,Entire home/apt,1.0,201-250,91-100
302167,No,Pankow,Entire home/apt,1.0,0-50,91-100
303097,No,Pankow,Private room,1.0,300+,91-100
303741,No,Mitte,Private room,1.0,300+,91-100
304904,Yes,Pankow,Private room,1.0,151-200,91-100
305987,Yes,Pankow,Entire home/apt,1.0,300+,91-100
306312,Yes,Pankow,Entire home/apt,3.0,251-300,91-100
